Mineral Name,Mineral Name (plain),RRUFF Chemistry (concise),Chemistry Elements,RRUFF IDs,Structural Groupname,Crystal Systems,Space Groups,Oldest Known Age (Ma),Paragenetic Modes,Hey Classification ID,Hey Classification Name
Majorite,Majorite,Mg_3_(MgSi)(SiO_4_)_3_,Mg Si O,R210005,Garnet,tetragonal|cubic,I4_1/a|I4_1/acd,,"Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases, Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 5: Initiation of plate tectonics, PM39 - High-P metamorphism",14,Silicates not Containing Aluminum
Majzlanite,Majzlanite,K_2_Na(Zn^2+^Na)Ca(S^6+^O_4_)_4_,K Na Zn Ca S O,,Not in a structural group,monoclinic,C2/c,3.6e-05,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",25,Sulphates
Makarochkinite,Makarochkinite,Ca_4_[Fe^2+^_8_Fe^3+^_2_Ti^4+^_2_]O_4_[Si_8_Be_2_Al_2_O_36_],Ca Fe Ti O Si Be Al,,Sapphirine,triclinic,P-1,265.0,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",16,Silicates Containing Aluminum and other Metals
Makatite,Makatite,Na_2_Si_4_O_8_(OH)_2_·4H_2_O,Na Si O H,R050594, ,monoclinic,P2_1/c,413.6,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic), Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Mäkinenite,Makinenite,NiSe,Ni Se,,Millerite,hexagonal,R3m,2100.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",0,Unclassified
Makotoite,Makotoite,Ag_12_(Cu_3_Au)S_8_,Ag Cu Au S,,Uytenbogaardtite,hexagonal,R-3c,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Makovickyite,Makovickyite,Cu_1.12_Ag_0.81_Pb^2+^_0.27_Bi^3+^_5.35_S^2-^_9_,Cu Ag Pb Bi S,,Pavonite,monoclinic,C2/m,599.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Malachite,Malachite,Cu^2+^_2_CO_3_(OH)_2_,Cu C O H,R050531 R050508,Malachite,monoclinic,P2_1/a,4000.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM53 - Other minerals with taphonomic origins",7,Oxides and Hydroxides
Malanite,Malanite,Cu^1+^(Ir^3+^Pt^4+^)S^2-^_4_,Cu Ir Pt S,R070051,Spinel,cubic,Fd3m,3254.0,"Abiotic, Primary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
Malayaite,Malayaite,CaSn^4+^O(SiO_4_),Ca Sn O Si,R061131 R061106 R080024,Titanite,monoclinic,A2/a,2058.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",14,Silicates not Containing Aluminum
Maldonite,Maldonite,Au_2_Bi,Au Bi,, ,cubic,Fd3m,3110.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",1,"Elements and Alloys (including the arsenides, antimonides and bismuthides of Cu, Ag and Au)"
Maleevite,Maleevite,BaB_2_Si_2_O_8_,Ba B Si O,,Danburite,orthorhombic,Pnma,359.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Maletoyvayamite,Maletoyvayamite,Au_3_Se_4_Te_6_,Au Se Te,,Maletoyvayamite,triclinic,P-1,,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",0,Unclassified
Malhmoodite,Malhmoodite,Fe^2+^Zr^4+^(PO_4_)_2_·4H_2_O,Fe Zr P O H,R060462 R200009,Malhmoodite,triclinic|monoclinic,P2_1/c|P-1,101.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM32 - Ba-Mn-Pb-Zn metamorphics",0,Unclassified
Malinkoite,Malinkoite,NaBSiO_4_,Na B Si O,,Beryllonite,hexagonal,P6_3,370.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Malladrite,Malladrite,Na_2_SiF_6_,Na Si F,,Malladrite,hexagonal,P321,3.6e-05,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals",2,"Carbides, Nitrides, Silicides and Phosphides"
Mallardite,Mallardite,Mn^ 2+^S^6+^O_4_·7H_2_O,Mn S O H,,Melanterite,monoclinic,P2_1/c,1861.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM55 - Anthropogenic mine minerals",4,Oxysulphides
Mallestigite,Mallestigite,Pb^2+^_3_Sb^5+^(S^6+^O_4_)(As^5+^O_4_)(OH)_6_·3H_2_O,Pb Sb S O As H,,Fleischerite,hexagonal,P6_3|P6_322,416.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals",25,Sulphates
Malyshevite,Malyshevite,Cu^1+^Pd^2+^Bi^3+^S^2-^_3_,Pd Cu Bi S,,Lapieite,orthorhombic,,1851.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Mambertiite,Mambertiite,Bi^3+^Mo^5+^_2.80_O_8_(OH),Bi Mo O H,,Gelosaite,triclinic,P-1,289.2,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Mammothite,Mammothite,Pb^2+^_6_Cu^2+^_4_AlSb^5+^O_2_(S^6+^O_4_)_2_Cl_4_(OH)_16_,Pb Cu Al Sb O S Cl H,R130100, ,monoclinic,C2/m|C2,22.5,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals",26,Sulphates with Halide
Manaevite-(Ce),Manaevite-(Ce),"Ca_11_(Ce^3+^,H_2_O,Ca)_8_Mg(Al,Fe^3+^)_4_(Mg,Ti^4+^,Fe^3+^)_8_[Si_2_O_7_]_4_[(SiO_4_)_8_(H_4_O_4_)_2_](OH)_9_",Ca Ce H O Mg Al Fe Ti Si,,Vesuvianite,tetragonal,P4/nnc,500.0,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Manaksite,Manaksite,KNaMn^2+^Si_4_O_10_,K Na Mn Si O,R060693,Litidionite,triclinic,P-1,370.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",14,Silicates not Containing Aluminum
Manandonite,Manandonite,Li_2_Al_4_(Si_2_AlB)O_10_(OH)_8_,Li Al Si B O H,R060968,"Serpentine, Clay",triclinic,C1,500.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Mandarinoite,Mandarinoite,Fe^3+^_2_(Se^4+^O_3_)_3_·6H_2_O,Fe Se O H,R140742 R220014,Mandarinoite,monoclinic,P2_1/c,416.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",28,"Selenites, Selenates, Tellurites, and Tellurates"
Maneckiite,Maneckiite,(Na[box])Ca_2_Fe^2+^_2_(Fe^3+^Mg)Mn^2+^_2_(PO_4_)_6_·2H_2_O,Na Ca Fe Mg Mn P O H,,Wicksite,orthorhombic,Pcab,383.1,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Manganarsite,Manganarsite,Mn^2+^_3_As^3+^_2_O_4_(OH)_4_,Mn As O H,, ,hexagonal,,1898.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Manganbabingtonite,Manganbabingtonite,Ca_2_Mn^2+^Fe^3+^Si_5_O_14_(OH),Ca Mn Fe Si O H,R140743,Rhodonite,triclinic,P-1,440.0,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",17,Silicates Containing other Anions
Manganbelyankinite,Manganbelyankinite,"(Mn^2+^,Ca)(Ti^4+^,Nb^5+^)_5_O_12_·9H_2_O",Mn Ti Nb O H,, ,amorphous,,413.6,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",18,Niobates and Tantalates
Manganberzeliite,Manganberzeliite,NaCa_2_Mn^2+^_2_(As^5+^O_4_)_3_,Na Ca Mn As O,,Garnet,cubic,Ia3d,2000.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",0,Unclassified
Manganflurlite,Manganflurlite,Zn^2+^Mn^2+^_3_Fe^3+^(PO_4_)_3_(OH)_2_(H_2_O)_7_·2H_2_O,Zn Mn Fe P O H,,Flurlite,monoclinic,P2_1/m,561.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Mangangordonite,Mangangordonite,Mn^2+^Al_2_(PO_4_)_2_(OH)_2_·8H_2_O,Mn Al P O H,,Laueite,triclinic,P-1,2527.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Manganhumite,Manganhumite,Mn^2+^_7_(SiO_4_)_3_(OH)_2_,Mn Si O H,,Humite,orthorhombic,Pbnm,1898.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Manganiakasakaite-(La),Manganiakasakaite-(La),CaLa^3+^Mn^3+^AlMn^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca La Mn Al Si O H,,Epidote,monoclinic,P2_1/m,245.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Manganiandrosite-(Ce),Manganiandrosite-(Ce),Mn^2+^Ce^3+^AlMn^3+^Mn^2+^(Si_2_O_7_)(SiO_4_)O(OH),Mn Ce Al Si O H,,"Epidote, allanite",monoclinic,P2_1/m,,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Manganiandrosite-(La),Manganiandrosite-(La),Mn^2+^La^3+^AlMn^3+^Mn^2+^(Si_2_O_7_)(SiO_4_)O(OH),Mn La Al Si O H,,"Epidote, allanite",monoclinic,P2_1/m,,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Manganiceladonite,Manganiceladonite,KMgMn^3+^Si_4_O_10_(OH)_2_,K Mg Mn Si O H,,"Mica, Clay",monoclinic,C2,201.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Mangani-dellaventuraite,Mangani-dellaventuraite,NaNa_2_(MgMn^3+^_2_LiTi^4+^)Si_8_O_22_O_2_,Na Mg Mn Ti Li Si O,,Amphibole,monoclinic,C2/m,2000.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",14,Silicates not Containing Aluminum
Mangani-eckermannite,Mangani-eckermannite,NaNa_2_(Mg_4_Mn^3+^)Si_8_O_22_(OH)_2_,Na Mg Mn Si O H,,Amphibole,monoclinic,C2/m,,,17,Silicates Containing other Anions
Manganilvaite,Manganilvaite,CaFe^2+^Fe^3+^Mn^2+^(Si_2_O_7_)O(OH),Ca Fe Mn Si O H,R070334,Ilvaite,monoclinic,P2_1/a,270.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",17,Silicates Containing other Anions
Mangani-obertiite,Mangani-obertiite,NaNa_2_(Mg_3_Mn^3+^Ti^4+^)Si_8_O_22_O_2_,Na Mg Mn Ti Si O,R141096,Amphibole,monoclinic,C2/m,0.4,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals",14,Silicates not Containing Aluminum
Mangani-pargasite,Mangani-pargasite,NaCa_2_(Mg_4_Mn^3+^)(Si_6_Al_2_)O_22_(OH)_2_,Na Ca Mg Mn Si Al O H,,Amphibole,monoclinic,C2/m,1898.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism",17,Silicates Containing other Anions
Manganite,Manganite,Mn^3+^O(OH),Mn O H,R060827 R070269 R070593,Rutile,monoclinic|orthorhombic,"B2_1/d|Pnnm, P2_1/c",2950.0,"Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM14 - Hot springs & geysers, Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, PM24 - Authigenic minerals in terrestrial sediments, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals",7,Oxides and Hydroxides
Manganlotharmeyerite,Manganlotharmeyerite,CaMn^3+^_2_(As^5+^O_4_)_2_(OH)_2_,Ca Mn As O H,,Natrochalcite,monoclinic,C2/m,66.0,"Abiotic, Biotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Manganoarrojadite-(KNa),Manganoarrojadite-(KNa),KNa_5_Mn^2+^Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_,K Na Mn Fe Al P O H,,Arrojadite,monoclinic,Cc,,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Manganobadalovite,Manganobadalovite,NaNaMn^2+^(MgFe^3+^)(As^5+^O_4_)_3_,Na Mn Mg Fe As O,,Alluaudite,monoclinic,C2/c,,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",0,Unclassified
Manganoblödite,Manganoblodite,Na_2_Mn^2+^(S^6+^O_4_)_2_·4H_2_O,Na Mn S O H,,Blödite,monoclinic,P2_1/a,0.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",25,Sulphates
Manganochromite,Manganochromite,Mn^2+^Cr^3+^_2_O_4_,Mn Cr O,,Spinel,cubic,Fd-3m|Fd3m,500.0,"Abiotic, Secondary; Stage 5: Initiation of plate tectonics, PM40 - Regional metamorphism",7,Oxides and Hydroxides
Manganoeudialyte,Manganoeudialyte,"Na_14_Ca_6_Mn^2+^_3_Zr^4+^_3_[Si_26_O_72_(OH)_2_](H_2_O,Cl,O,OH)_6_",Na Ca Mn Zr Si O H Cl,R110212,Eudialyte,hexagonal,R3m,370.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Mangano-ferri-eckermannite,Mangano-ferri-eckermannite,NaNa_2_(Mn^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_,Na Mn Fe Si O H,R070122,Amphibole,monoclinic,C2/m,445.0,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Manganohörnesite,Manganohornesite,Mn^2+^_3_(As^5+^O_4_)_2_·8H_2_O,Mn As O H,R061005,Vivianite,monoclinic,P2_1/c,1898.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, PM32 - Ba-Mn-Pb-Zn metamorphics",0,Unclassified
Manganokaskasite,Manganokaskasite,"(Mo,Nb)S_2_·(Mn^2+^_1-x_Al_x_)(OH)_2+x_",Mo Nb S Mn Al O H,,Valleriite,hexagonal,,413.6,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",4,Oxysulphides
Manganokhomyakovite,Manganokhomyakovite,"Na_12_Ca_6_Sr_3_Mn^2+^_3_W^5+^Zr^4+^_3_(Si_25_O_73_)(O,OH,H_2_O)_3_(Cl,OH)_2_",Na Sr Ca Mn Zr W Si O H Cl,,Eudialyte,hexagonal,R3m,124.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",17,Silicates Containing other Anions
Manganokukisvumite,Manganokukisvumite,Na_6_Mn^2+^Ti^4+^_4_Si_8_O_28_·4H_2_O,Na Mn Ti Si O H,, ,orthorhombic,Pccn,413.6,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",14,Silicates not Containing Aluminum
Manganolangbeinite,Manganolangbeinite,K_2_Mn^2+^_2_(S^6+^O_4_)_3_,K Mn S O,,Langbeinite,cubic,P2_13,0.4,"Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals",25,Sulphates
Mangano-mangani-ungarettiite,Mangano-mangani-ungarettiite,NaNa_2_(Mn^2+^_2_Mn^3+^_3_)Si_8_O_22_O_2_,Na Mn Si O,R050244,Amphibole,monoclinic,C2/m,445.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, PM32 - Ba-Mn-Pb-Zn metamorphics",14,Silicates not Containing Aluminum
Manganonaujakasite,Manganonaujakasite,Na_6_Mn^2+^Al_4_Si_8_O_26_,Na Mn Al Si O,, ,monoclinic,C2/m,418.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",16,Silicates Containing Aluminum and other Metals
Manganoneptunite,Manganoneptunite,KNa_2_LiMn^2+^_2_Ti^4+^_2_Si_8_O_24_,K Na Li Mn Ti Si O,R060901 R130094,Neptunite,monoclinic,C2/c|Cc,1160.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",14,Silicates not Containing Aluminum
Manganonordite-(Ce),Manganonordite-(Ce),Na_3_SrCe^3+^Mn^2+^Si_6_O_17_,Na Sr Ce Mn Si O,R140749,Nordite,orthorhombic,Pcca,370.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",14,Silicates not Containing Aluminum
Manganoquadratite,Manganoquadratite,Ag^1+^Mn^2+^As^3+^S^2-^_3_,Ag Mn As S,R090021,Quadratite,tetragonal,P4_322,24.5,"Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits",5,Sulphosalts - Sulpharsenites and Sulphobismuthites
Manganoschafarzikite,Manganoschafarzikite,Mn^2+^Sb^3+^_2_O_4_,Mn Sb O,,Minium,tetragonal,P4_2/mbc,,,7,Oxides and Hydroxides
Manganosegelerite,Manganosegelerite,Mn^2+^_2_Fe^3+^(PO_4_)_2_(OH)·4H_2_O,Mn Fe P O H,,Overite,orthorhombic,Pbca,2527.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Manganosite,Manganosite,Mn^2+^O,Mn O,R060695 R060757,Rocksalt,cubic,Fm3m,2200.0,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 5: Initiation of plate tectonics, PM42 - Sea-floor Mn nodules, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Manganostibite,Manganostibite,Mn^2+^_7_Sb^5+^As^5+^O_12_,Mn Sb As O,,Manganostibite,orthorhombic,Ibmm,1898.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, Stage 7: Great Oxidation Event, PM46 - Near-surface hydrothermal alterations",24,Antimonates and Antimonites
Manganotychite,Manganotychite,Na_6_Mn^2+^_2_(CO_3_)_4_(S^6+^O_4_),Na Mn C O S,,Northupite,cubic,Fd3,363.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",25,Sulphates
Manganrockbridgeite,Manganrockbridgeite,Mn^2+^_2_Fe^3+^_3_(PO_4_)_3_(OH)_4_(H_2_O),Mn Fe P O H,,Rockbridgeite,monoclinic,P2_1/m,,,0,Unclassified
Manganvesuvianite,Manganvesuvianite,Ca_19_Mn^3+^Al_10_Mg_2_(SiO_4_)_10_(Si_2_O_7_)_4_O(OH)_9_,Ca Mn Al Mg Si O H,R060377,Vesuvianite,tetragonal,P4/n,2400.0,"Abiotic, Secondary; Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",17,Silicates Containing other Anions
Mangazeite,Mangazeite,Al_2_S^6+^O_4_(OH)_4_·3H_2_O,Al S O H,, ,triclinic,,,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",4,Oxysulphides
Manitobaite,Manitobaite,Na_16_Mn^2+^_25_Al_8_(PO_4_)_30_,Na Mn Al P O,R130259 R130260,Alluaudite-Manitobaite,monoclinic,Pc,2772.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites",0,Unclassified
Manjiroite,Manjiroite,Na(Mn^4+^_7_Mn^3+^)O_16_,Na Mn O,R060379,Coronadite,tetragonal,,2400.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",7,Oxides and Hydroxides
Mannardite,Mannardite,Ba(Ti^4+^_6_V^3+^_2_)O_16_,Ba Ti V O,R060966 R080136,Coronadite,tetragonal,"I4/m|P4/m, I4_1/a",481.0,"Abiotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics",0,Unclassified
Mansfieldite,Mansfieldite,AlAs^5+^O_4_·2H_2_O,Al As O H,R060409 R060951, ,orthorhombic,Pbca,1790.0,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration, Stage 7: Great Oxidation Event, PM46 - Near-surface hydrothermal alterations",23,Arsenites
Mantienneite,Mantienneite,KMg_2_Al_2_Ti^4+^(PO_4_)_4_(OH)_3_·15H_2_O,K Mg Al Ti P O H,,Paulkerrite,orthorhombic,Pbca,,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Manuelarossiite,Manuelarossiite,Pb^2+^CaAlF_7_,Pb Ca Al F,,Aravaipaite,monoclinic,C2/m,,,8,Halides
Maohokite,Maohokite,MgFe^3+^_2_O_4_,Mg Fe O,,Post-spinel,orthorhombic,Pnma,,"Abiotic; Stage 4a: Earth's earliest continental crust, PM30 - Terrestrial impact minerals",7,Oxides and Hydroxides
Maoniupingite-(Ce),Maoniupingite-(Ce),"(Ce^3+^,Ca)_4_(Fe^3+^,Ti^4+^,Fe^2+^,[box])(Ti^4+^,Fe^3+^,Fe^2+^,Nb^5+^)_4_Si_4_O_22_",Ce Ca Fe Ti Nb Si O,,Chevkinite,monoclinic,C2/m,40.3,"Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",14,Silicates not Containing Aluminum
Mapimite,Mapimite,Zn^2+^_2_Fe^3+^_3_(As^5+^O_4_)_3_(OH)_4_·10H_2_O,Zn Fe As O H,R080002, ,monoclinic,Cm,66.0,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",0,Unclassified
Mapiquiroite,Mapiquiroite,"(Sr,Pb^2+^)(U^4+^,Y)Fe^3+^_2_(Ti^4+^,Fe^3+^)_18_O_38_",Sr Pb U Y Fe Ti O,,Crichtonite,hexagonal,R-3,27.0,"Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",0,Unclassified
Marathonite,Marathonite,Pd_25_Ge_9_,Pd Ge,,Not in a structural group,hexagonal,P3,1109.0,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations",0,Unclassified
Marcasite,Marcasite,FeS_2_,Fe S,R060882,Marcasite,orthorhombic,Pnnm|Pmnn,4000.0,"Abiotic, Biotic, Primary, Secondary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals, Stage 3b: Earth's earliest hydrosphere, PM15 - Black smokers, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization, PM50 - Coal and/or oil shale minerals, PM53 - Other minerals with taphonomic origins, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals, PM55 - Anthropogenic mine minerals",3,"Sulphides, Selenides, Tellurides, Arsenides and Bismuthides"
